org	machine	machine_name	std_name	std_name_long	ex	em	width	laser
BCLS	CytoflexLXNUV	FL8-A	pc7	PE-Cy7	561	763	43	yellow
BCLS	CytoflexLXNUV	FL3-A	pc55	PerCP-Cy5.5	488	690	50	blue
BCLS	CytoflexLXNUV	FL9-A	apc	APC	638	660	10	red
BCLS	CytoflexLXNUV	FL11-A	ac7	APC-Cy7	638	763	43	red
BDSJ	Lyric	Time	time	Time	NA	NA	NA	NA
BDSJ	Lyric	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BDSJ	Lyric	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BDSJ	Lyric	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BDSJ	Lyric	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BDSJ	Lyric	Pacific Blue-A	v450	V450/PB 	405	448	45	violet
BDSJ	Lyric	Aqua Dye-A	v500	V500-C/Aqua	405	528	45	violet
BDSJ	Lyric	FITC-A	fitc	FITC	488	527	32	blue
BDSJ	Lyric	PE-A	pe	PE	488	586	42	blue
BDSJ	Lyric	PE-Cy7-A	pc7	PE-Cy7	488	783	56	blue
BDSJ	Lyric	PerCP-Cy5.5-A	pc55	PerCP-Cy5.5	488	700	54	blue
BDSJ	Lyric	APC-A	apc	APC	640	660	10	red
BDSJ	Lyric	APC-Cy7-A	ac7	APC-Cy7	640	783	56	red
BDSJ	Lyric-2	Time	time	Time	NA	NA	NA	NA
BDSJ	Lyric-2	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BDSJ	Lyric-2	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BDSJ	Lyric-2	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BDSJ	Lyric-2	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BDSJ	Lyric-2	Pacific Blue-A	v450	V450/PB 	405	448	45	violet
BDSJ	Lyric-2	Aqua Dye-A	v500	V500-C/Aqua	405	528	45	violet
BDSJ	Lyric-2	FITC-A	fitc	FITC	488	527	32	blue
BDSJ	Lyric-2	PE-A	pe	PE	488	586	42	blue
BDSJ	Lyric-2	PE-Cy7-A	pc7	PE-Cy7	488	783	56	blue
BDSJ	Lyric-2	PerCP-Cy5.5-A	pc55	PerCP-Cy5.5	488	700	54	blue
BDSJ	Lyric-2	APC-A	apc	APC	640	660	10	red
BDSJ	Lyric-2	APC-Cy7-A	ac7	APC-Cy7	640	783	56	red
BMSSeattle	CantoSORP-2	Time	time	Time	NA	NA	NA	NA
BMSSeattle	CantoSORP-2	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BMSSeattle	CantoSORP-2	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BMSSeattle	CantoSORP-2	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BMSSeattle	CantoSORP-2	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BMSSeattle	CantoSORP-2	405/450/50-A	v450	V450/PB 	405	450	50	violet
BMSSeattle	CantoSORP-2	405/525/50-A	v500	V500-C/Aqua	405	525	50	violet
BMSSeattle	CantoSORP-2	488/530/30-A	fitc	FITC	488	530	30	blue
BMSSeattle	CantoSORP-2	488/586/15-A	pe	PE	488	586	15	blue
BMSSeattle	CantoSORP-2	488/780/60-A	pc7	PE-Cy7	488	780	60	blue
BMSSeattle	CantoSORP-2	488/710/50-A	pc55	PerCP-Cy5.5	488	710	50	blue
BMSSeattle	CantoSORP-2	640/670/30-A	apc	APC	640	670	30	red
BMSSeattle	CantoSORP-2	640/780/60-A	ac7	APC-Cy7	640	780	60	red
BMSSeattle	CantoSORP-3	Time	time	Time	NA	NA	NA	NA
BMSSeattle	CantoSORP-3	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BMSSeattle	CantoSORP-3	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BMSSeattle	CantoSORP-3	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BMSSeattle	CantoSORP-3	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BMSSeattle	CantoSORP-3	405/450/50-A	v450	V450/PB 	405	450	50	violet
BMSSeattle	CantoSORP-3	405/525/50-A	v500	V500-C/Aqua	405	525	50	violet
BMSSeattle	CantoSORP-3	488/530/30-A	fitc	FITC	488	530	30	blue
BMSSeattle	CantoSORP-3	488/586/15-A	pe	PE	488	586	15	blue
BMSSeattle	CantoSORP-3	488/780/60-A	pc7	PE-Cy7	488	780	60	blue
BMSSeattle	CantoSORP-3	488/710/50-A	pc55	PerCP-Cy5.5	488	710	50	blue
BMSSeattle	CantoSORP-3	640/670/30-A	apc	APC	640	670	30	red
BMSSeattle	CantoSORP-3	640/780/60-A	ac7	APC-Cy7	640	780	60	red
BMSWarren	CantoSORP	Time	time	Time	NA	NA	NA	NA
BMSWarren	CantoSORP	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BMSWarren	CantoSORP	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BMSWarren	CantoSORP	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BMSWarren	CantoSORP	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BMSWarren	CantoSORP	405/450/50-A	v450	V450/PB 	405	450	50	violet
BMSWarren	CantoSORP	405/525/50-A	v500	V500-C/Aqua	405	525	50	violet
BMSWarren	CantoSORP	488/530/30-A	fitc	FITC	488	530	30	blue
BMSWarren	CantoSORP	488/586/15-A	pe	PE	488	586	15	blue
BMSWarren	CantoSORP	488/780/60-A	pc7	PE-Cy7	488	780	60	blue
BMSWarren	CantoSORP	488/710/50-A	pc55	PerCP-Cy5.5	488	710	50	blue
BMSWarren	CantoSORP	640/670/30-A	apc	APC	640	670	30	red
BMSWarren	CantoSORP	640/780/60-A	ac7	APC-Cy7	640	780	60	red
BMSWarren	MQA10-1	HDR-T	time	Time	NA	NA	NA	NA
BMSWarren	MQA10-1	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BMSWarren	MQA10-1	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BMSWarren	MQA10-1	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BMSWarren	MQA10-1	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BMSWarren	MQA10-1	V1-A	v450	V450/PB 	405	450	50	violet
BMSWarren	MQA10-1	V2-A	v500	V500-C/Aqua	405	525	50	violet
BMSWarren	MQA10-1	B1-A	fitc	FITC	488	525	50	blue
BMSWarren	MQA10-1	B2-A	pe	PE	488	585	40	blue
BMSWarren	MQA10-1	B4-A	pc7	PE-Cy7	488	789	78	blue
BMSWarren	MQA10-1	B3-A	pc55	PerCP-Cy5.5	488	692	75	blue
BMSWarren	MQA10-1	R1-A	apc	APC	640	692	75	red
BMSWarren	MQA10-1	R2-A	ac7	APC-Cy7	640	789	78	red
BMSWarren	MQA10-2	HDR-T	time	Time	NA	NA	NA	NA
BMSWarren	MQA10-2	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BMSWarren	MQA10-2	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BMSWarren	MQA10-2	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BMSWarren	MQA10-2	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BMSWarren	MQA10-2	V1-A	v450	V450/PB 	405	450	50	violet
BMSWarren	MQA10-2	V2-A	v500	V500-C/Aqua	405	525	50	violet
BMSWarren	MQA10-2	B1-A	fitc	FITC	488	525	50	blue
BMSWarren	MQA10-2	B2-A	pe	PE	488	585	40	blue
BMSWarren	MQA10-2	B4-A	pc7	PE-Cy7	488	789	78	blue
BMSWarren	MQA10-2	B3-A	pc55	PerCP-Cy5.5	488	692	75	blue
BMSWarren	MQA10-2	R1-A	apc	APC	640	692	75	red
BMSWarren	MQA10-2	R2-A	ac7	APC-Cy7	640	789	78	red
CellBio	CellStream	Time	time	Time	NA	NA	NA	NA
CellBio	CellStream	NA	fsc_a	FSC-A	NA	NA	NA	NA
CellBio	CellStream	NA	fsc_h	FSC-H	NA	NA	NA	NA
CellBio	CellStream	NA	ssc_a	SSC-A	NA	NA	NA	NA
CellBio	CellStream	NA	ssc_h	SSC-H	NA	NA	NA	NA
CellBio	CellStream	UCI_405 - 456/51 - A2	v450	V450/PB 	405	456	51	violet
CellBio	CellStream	UCI_405 - 528/46 - A3	v500	V500-C/Aqua	405	528	46	violet
CellBio	CellStream	UCI_488 - 528/46 - C3	fitc	FITC	488	528	46	blue
CellBio	CellStream	UCI_488 - 583/24 - C4	pe	PE	488	583	24	blue
CellBio	CellStream	UCI_488 - 773/56 - C1	pc7	PE-Cy7	488	773	56	blue
CellBio	CellStream	UCI_488 - 702/87 - C6	pc55	PerCP-Cy5.5	488	702	87	blue
CellBio	CellStream	UCI_375/642 - 702/87 - B6	apc	APC	642	702	87	red
CellBio	CellStream	UCI_375/642 - 773/56 - B1	ac7	APC-Cy7	642	773	56	red
CellBio	CytoflexS	Time	time	Time	NA	NA	NA	NA
CellBio	CytoflexS	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
CellBio	CytoflexS	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
CellBio	CytoflexS	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
CellBio	CytoflexS	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
CellBio	CytoflexS	FL6-A	v450	V450/PB 	405	450	45	violet
CellBio	CytoflexS	FL7-A	v500	V500-C/Aqua	405	525	40	violet
CellBio	CytoflexS	FL1-A	fitc	FITC	488	525	40	blue
CellBio	CytoflexS	FL9-A	pe	PE	561	585	42	yellow
CellBio	CytoflexS	FL12-A	pc7	PE-Cy7	561	780	60	yellow
CellBio	CytoflexS	FL2-A	pc55	PerCP-Cy5.5	488	690	50	blue
CellBio	CytoflexS	FL3-A	apc	APC	638	675	30	red
CellBio	CytoflexS	FL5-A	ac7	APC-Cy7	638	780	60	red
FDACBER	AriaIII	Time	time	Time	NA	NA	NA	NA
FDACBER	AriaIII	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
FDACBER	AriaIII	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
FDACBER	AriaIII	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
FDACBER	AriaIII	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
FDACBER	AriaIII	BV421-A	v450	V450/PB 	407	450	50	violet
FDACBER	AriaIII	AmCyan-A	v500	V500-C/Aqua	407	525	50	violet
FDACBER	AriaIII	Alexa Fluor 488-A	fitc	FITC	488	530	30	blue
FDACBER	AriaIII	PE-A	pe	PE	561	582	15	yellow
FDACBER	AriaIII	PE-Cy7-A	pc7	PE-Cy7	561	780	60	yellow
FDACBER	AriaIII	PerCP-A	pc55	PerCP-Cy5.5	488	695	40	blue
FDACBER	AriaIII	APC-A	apc	APC	633	660	20	red
FDACBER	AriaIII	APC-Cy7-A	ac7	APC-Cy7	633	780	60	red
FDACBER	Canto10	Time	time	Time	NA	NA	NA	NA
FDACBER	Canto10	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
FDACBER	Canto10	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
FDACBER	Canto10	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
FDACBER	Canto10	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
FDACBER	Canto10	Alexa Fluor 430-A	v450	V450/PB 	405	450	50	violet
FDACBER	Canto10	AmCyan-A	v500	V500-C/Aqua	405	525	50	violet
FDACBER	Canto10	Alexa Fluor 488-A	fitc	FITC	488	530	30	blue
